ts,scenario,label,n_packets,total_bytes,cache_misses,instructions,branch_misses
1785726668.489299,benign,0,232,20630,2458582.0,536908267.0,2667274.0
1785726669.5061948,benign,0,148,16070,1012109.0,390917357.0,1189887.0
1785726670.5226336,benign,0,108,13022,1446753.0,622568422.0,1349922.0
1785726671.5391665,benign,0,116,13642,2368627.0,475276856.0,1518367.0
1785726672.555621,benign,0,140,15460,1005198.0,390061414.0,1129161.0
1785726673.5776691,benign,0,124,14244,3104817.0,560399488.0,2313736.0
1785726674.600239,benign,0,116,13626,2247737.0,484679160.0,1777621.0
1785726675.6224756,benign,0,132,14854,958889.0,384462974.0,1078973.0
1785726676.6452456,benign,0,132,14850,957595.0,384763699.0,1081057.0
1785726677.6677008,benign,0,132,14854,970855.0,438237476.0,1093886.0
1785726678.6905584,benign,0,132,14862,971376.0,388956688.0,1093449.0
1785726679.712807,benign,0,124,14252,966063.0,395372872.0,1100882.0
1785726680.7352133,benign,0,132,14854,1051876.0,465978823.0,1143266.0
1785726681.75745,benign,0,124,14248,956318.0,384734982.0,1076017.0
1785726682.779559,benign,0,116,13632,949164.0,384828252.0,1061632.0
1785726683.8018775,benign,0,132,14852,3579546.0,684822940.0,2600994.0
1785726684.8240638,benign,0,124,14250,2285284.0,504966626.0,1810247.0
1785726685.8463728,benign,0,146,15786,1023489.0,394221666.0,1155136.0
1785726686.868878,benign,0,122,14066,955819.0,385632692.0,1082297.0
1785726687.8910525,benign,0,124,14240,952725.0,383665399.0,1068521.0
1785726688.913333,benign,0,132,14858,988613.0,386959777.0,1119987.0
1785726689.9355812,benign,0,124,14236,960180.0,386989953.0,1087127.0
1785726690.9580145,benign,0,124,14244,1034447.0,442309305.0,1129390.0
1785726691.9801743,benign,0,124,14246,961853.0,386055073.0,1092089.0
1785726693.0025165,benign,0,124,14254,954680.0,388164743.0,1075087.0
1785726694.0245862,benign,0,124,14246,3211514.0,581867979.0,2515841.0
1785726695.041068,benign,0,116,13630,2235260.0,514428694.0,1760841.0
1785726696.0576217,benign,0,124,14242,945633.0,383933010.0,1063769.0
1785726697.073752,benign,0,132,14854,1379309.0,620093959.0,1344884.0
1785726698.090344,benign,0,116,13638,948685.0,390320286.0,1059880.0
1785726699.1071746,benign,0,124,14250,1023849.0,397960052.0,1148577.0
1785726700.1295476,benign,0,140,15466,984156.0,392250015.0,1120381.0
1785726701.1565552,benign,0,130,15932,1059273.0,489602239.0,1150776.0
1785726702.187522,benign,0,136,17194,2895104.0,751875575.0,3085636.0
1785726703.2395792,benign,0,134,14990,2189770.0,519962089.0,1872403.0
1785726704.262325,benign,0,156,18226,3207250.0,661616638.0,2337868.0
1785726705.2790008,benign,0,108,13024,1653234.0,425857967.0,1275063.0
1785726706.295196,benign,0,124,14248,952370.0,383415249.0,1066478.0
1785726707.3118503,benign,0,132,14860,962509.0,384727609.0,1085952.0
1785726708.3284786,benign,0,132,14856,964576.0,385739712.0,1080462.0
1785726709.3508372,benign,0,140,15464,967426.0,388570717.0,1096367.0
1785726710.3707545,benign,0,124,14232,1468862.0,600054809.0,1378126.0
1785726711.387308,benign,0,108,13024,949290.0,385051314.0,1067709.0
1785726712.403708,benign,0,140,15464,1009816.0,387630446.0,1091207.0
1785726713.4201343,benign,0,132,14852,3155738.0,565677661.0,2293019.0
1785726714.4367712,benign,0,132,14858,2261981.0,486720321.0,1762776.0
1785726715.4532003,benign,0,116,13644,953519.0,385271943.0,1066146.0
1785726716.4755075,benign,0,132,14854,1012261.0,391675769.0,1127672.0
1785726717.4979343,benign,0,124,14242,970634.0,384518662.0,1088924.0
1785726718.5204856,benign,0,116,13632,953899.0,383704919.0,1070542.0
1785726719.5432467,benign,0,128,14638,1013277.0,477123389.0,1144041.0
1785726720.5658708,benign,0,124,14246,1054582.0,489907590.0,1149865.0
1785726721.588231,benign,0,124,14244,949800.0,384410123.0,1069961.0
1785726722.6108484,benign,0,124,14248,1392609.0,560299956.0,1341105.0
1785726723.633361,benign,0,132,14856,3248449.0,592344936.0,2411169.0
1785726724.6560943,benign,0,132,14852,2244720.0,485183478.0,1771567.0
1785726725.678814,benign,0,116,13636,955354.0,385602103.0,1081074.0
1785726726.700822,benign,0,124,14248,965164.0,385852521.0,1090310.0
1785726727.7234068,benign,0,174,17260,1009159.0,391535928.0,1160650.0
1785726728.745655,benign,0,150,15612,1030335.0,392990495.0,1152664.0
1785726729.7682738,benign,0,124,14244,995098.0,390517686.0,1166735.0
1785726730.7903426,benign,0,124,14248,1052245.0,482404487.0,1147726.0
1785726731.812571,benign,0,124,14238,974174.0,388461172.0,1129231.0
1785726732.8350873,benign,0,124,14240,1007776.0,400632133.0,1136688.0
1785726733.856932,benign,0,124,14246,3364850.0,643847507.0,2724430.0
1785726734.877447,benign,0,124,14248,2286909.0,491646180.0,1806621.0
